japanese,python
インポート,import
として,as
から,from
定義,def
返す,return
グローバル,global
グローバル関数,global
表示,print
プリント,print
読み込む,read
書く,write
開く,open
閉じる,close
整数,int
文字列,str
フロート,float
浮動小数点数,float
もし,if
イフ,if
それ以外,else 
エルス,else
あるいはもし,elif
かつ,and
または,or
でない,not
否定,not
含まれる,in
である,is
真,TRUE
偽,FALSE
なし,None
の間,while
について,for
リスト,list
範囲,range
長さ,len
クラス,class
自身,self
セルフ,self
初期化,init
試す,try
除く,except
入力,input
インプット,input
絶対値,abs
全て,all
番号,enumerate
複素数,complex
冪乗,pow
最大値,max
最小値,min
合計,sum
サム,sum
ソート,sorted